PMID, Ack, Gender 
20966005, Blainey,???
20966005, Thomas C,male
20966005, Joan M Merigan Endowment,female
20947524, Jie Li,???
20947524, Wengang Zhou,???
20947524, Narasimha Rao,???
20947524, Jennifer L Reed,female
20022975, Ali Mortazavi,male
20022975, Mortazavi,???
20031970, Michelle D Brazas,female
20031970, Guanming Wu,???
20031970, Li Zhang,???
20031970, Joseph Yamada,male
20022973, Thomas Keane,male
20022973, Jim Stalker,male
20022973, Ian Sudbery,male
20015948, J Blom,???
20015948, D Wibberg,???
20015948, Jaenicke,???
20015948, Tauch,???
20015948, Trost,???
20007742, Chen,???
20007742, Mr Chia-Chang Wang,???
20008478, R Izs?k,???
20008478, Lapidus,???
20008478, Tringe,???
20008478, Youle,???
20031972, Adrienne Pollack,female
20031972, Paul,male
19933165, Lakshminarayan Iyer,???
19910305, Sven Findei?,???
19910305, Sharon Selzo,female
19910305, Kathy Tzeng,female
19910305, Deutsche Forschungsgemeinschaft,???
19933160, Hung Wong,male
19933160, Edward Mallinckrodt,male
19933160, Jr Foundation,???
19933166, Yong Guo,???
19933166, Daniel Haig,male
19933164, Battelle,???
19880371, Paul Kirk,male
19850753, Richard Lu,male
19850753, Frederic Breard,male
19850753, Max Kotlyar,male
19850753, Kevin R Brown,male
19855106, Erik Sj?lund,male
19880367, Dr Webb Miller,male
19880367, Huabin Hou,???
19880367, Gordon,male
19880367, Betty Moore,female
20513662, Rodger Staden,male
20513662, Robert Davies,male
20513662, Li Heng,???
20562415, Stephen Bentley,male
20562415, Nicholas Thomson,male
